Organizations involved,States,Areas,Ownership,Industry code[1],Union,Union acronym,Union Local,Bargaining unit,Work stoppage beginning date,Work stoppage ending date,Number of workers[2],"Days idle, cumulative for this work stoppage[3]",Note
"Allied Building Metals Industries, Inc.",NY,New York City,Private industry,236220,"International Association of Bridge, Structural, Ornamental and Reinforcing Iron Workers",BSOIW,,,7/8/05,7/22/05,"1,500","16,500",
Northwest Airlines Corporation,MN,Eagan,Private industry,481111,Aircraft Mechanics Fraternal Association,AMFA,Independent,,8/20/05,11/6/06,"3,000","1,183,800",
Boeing Company,"OR, KS",Puget Sound area and Wichita,Private industry,336411,International Association of Machinists,IAM,District 751,,9/2/05,9/30/05,"18,300","366,000",
Southeastern Pennsylvania Transit Authority,PA,Philadelphia,Private industry,485111,"Transport Workers Union, United Transportation Union","TWU 234, UTU 1594","2,341,594",,10/31/05,11/7/05,"5,300","31,800",
Boeing Company,"CA, FL, AL","Huntington Beach, Torrance, Vandenberg, and Edwards Air force Base, CA; Cape Canaveral, FL; Huntsville and Decatur, AL",Private industry,336410,International Association of Machinists,IAM,,,11/2/05,2/6/06,"1,500","87,200","Delta rocket program.
There were 1,300 workers involved beginning December 2005 through the end of the stoppage."
New York City Metropolitan Transit Authority,NY,New York,Local government,485110,Transit Workers Union,TWU,100,,12/20/05,12/23/05,"35,000","105,000",
Sikorsky Aircraft Corporation,"CT, FL","Stratford, West Palm Beach",Private industry,336411,International Brotherhood of Teamsters,IBT,1150,,2/20/06,4/3/06,"3,600","108,000",
AK Steel Corp.,OH,Middletown,Private industry,331111,Armco Employees Independent Federation,IAM,1943,,3/1/06,3/14/07,"1,800","556,200","The work stoppage decreased from 2,600 to 2,400 in the beginning of April 2006 to 2300 in July 2006, 1900 in October 2006, and 1800 workers in November 2006."
Santa Cruz County Government,CA,Santa Cruz,Local government,921190,Service Employees International Union,SEIU,415,,3/14/06,3/15/06,"1,600","1,600",
Denver Regional Transit District,CO,Denver,Local government,485110,Amalgamated Transit Union,ATU,1001,,4/3/06,4/9/06,"1,700","8,500",
Greater Metropolitan Automotive Dealers Association of Minnesota,MN,Minneapolis,Private industry,441110,International Brotherhood of Teamsters,IBT,974,,4/17/06,5/9/06,"1,400","23,800",
General Building Contractors Association,PA,Philadelphia,Private industry,238350,"United Brotherhood of Carpenters, Metropolitan Regional Council of Philadelphia",UBC,,,5/1/06,5/2/06,"5,000","5,000",
Mason Contractors Association and Independent Employers,MO,St. Louis area,Private industry,238140,International Union of Bricklayers and Allied Craftworkers,IUBAC,,,6/1/06,6/8/06,"1,200","7,200",
MidAmerica Regional Bargaining Association,IL,Chicago,Private industry,237310,Laborers International Union of North America,LIUNA,,,6/1/06,6/4/06,"2,000","4,000",
"Grove Masonry Maintenance, Inc. and Tuckpointing Contractors Association",IL,Chicago,Private industry,238140,International Union of Bricklayers and Allied Craftworkers,IUBAC,,,6/12/06,6/17/06,"1,600","8,000",
Contra Costa County,CA,Danville,Local government,921100,"Service Employees International Union, the Association of Federal, State and Municipal Employees, Public Employees Union","SEIU, AFSME","SEIU 512, AFSME 2700, 1",,6/27/06,6/28/06,"6,000","6,000",
"General Contractors Association of Greater New York, NY",NY,New York,Private industry,237990,International Union of Operating Engineers,IUOE,,,7/1/06,7/7/06,"3,000","12,000",
Gary School District,IN,Gary,Local government,611110,Gary Teachers Union,GTU,,,8/21/06,9/1/06,"1,400","14,000",
City of Los Angeles,CA,Los Angeles,Local government,921100,The Engineers and Architects Association,EAA,,,8/22/06,8/23/06,"7,500","15,000",
Robert Wood Johnson University Hospital,NJ,New Brunswick,Local government,622110,"United Steelworkers, Health Care Workers Council",USW,4-200,Health care workers,8/24/06,9/21/06,"1,200","24,000",
Detroit School District,MI,Detroit,Local government,611110,Detroit Federation of Teachers,DFT,231,,8/28/06,9/13/06,"9,500","104,500",
Sacramento County,CA,Sacramento,Local government,921100,"Stationary Engineers, American Federation of State, County and Municipal Employees",AFSCME,"39, District Council 57",,9/5/06,9/18/06,"3,900","39,000",
Bombardier Learjet,KS,Wichita,Private industry,336411,International Association of Machinists,IAM,639,,10/2/06,10/23/06,"1,100","16,500",
Goodyear Tire and Rubber Co.,"AL, NE, NY, NC, OH, KS, TN, TX, VA, WI",Multiple states,Private industry,326210,United Steelworkers,USW,,,10/6/06,12/29/06,"12,600","718,200",
"ABM Janitorial Services, GCA Services Group, Sanitors Services of Texas, Pritchard Industries Southwest",TX,Houston,Private industry,561720,Service Employees International Union,SEIU,5,,10/23/06,11/20/06,"1,300","26,000",
Raytheon Missile Systems,AZ,Tucson,Private industry,336414,International Association of Machinists,IAM,933,,11/6/06,1/19/07,"1,900","93,100",
Harley-Davidson Motor Company,PA,York,Private industry,336900,International Association of Machinist,IAM,175,,2/2/07,2/22/07,"2,800","39,200",
"Northrop Grumman Ship Systems, Ingalls Shipyard",MS,Pascagoula,Private industry,336611,"Pascagoula Metal Trades Council, International Brotherhood of Electrical Workers, Office and Professional Employees International Union, Special Police and Security Officers","IBEW, OPEIU","IBEW 733, OPEIU 204, SPSO 655",,3/8/07,4/4/07,"6,500","130,000",
Community College of Philadelphia,PA,Philadelphia,Local government,611210,Faculty and Staff Federation of CCP,FSFCCP,2026,,3/13/07,3/27/07,"1,300","14,300",
National Fire Sprinkler Association,Nationwide,,Private industry,238220,Road Sprinkler Fitters,RSF,669,,4/1/07,4/16/07,"3,000","33,000",
Foundation Coal Holdings,PA,Waynesburg,Private industry,212112,United Mine Workers,UMW,,,4/4/07,4/13/07,"1,200","9,600",
Hayward School District,CA,Hayward,Local government,611110,The Hayward Education Association,,,,4/5/07,4/25/07,"1,300","19,500",
"Associated Wall and Ceiling Contractors of Oregon and Southwest Washington, Inc.","OR, WA",Multiple states,Private industry,236220,Pacific Northwest Regional Council of Carpenters,,,,6/1/07,6/19/07,"1,200","15,600",
National Electrical Contractors of America,WA,Puget Sound,Private industry,238210,International Brotherhood of Electrical Workers,IBEW,46,,6/1/07,6/1/07,"2,800","2,800",
Orange County Transportation Authority,CA,Orange County area,Local government,485113,International Brotherhood of Teamsters,IBT,952,,7/7/07,7/16/07,"1,100","6,600",
"Harlem Consolidated Schools, District 122",IL,Machesney Park,Local government,611110,Harlem Federation of Teachers,AFT,540,,8/21/07,9/1/07,"1,000","9,000",
New York City Taxi and Limousine Commission,NY,New York,Local government,485310,Taxi Workers Alliance,,,,9/5/07,9/7/07,"26,000","52,000",
Philadelphia Parking Authority,PA,Philadelphia,Local government,485310,Taxi Workers Alliance,,,,9/5/07,9/6/07,"1,200","1,200",
University of Minnesota,MN,Duluth,Local government,611310,"American Federation of State, County and Municipal Employees",AFSCME,3801,,9/5/07,9/21/07,"3,100","40,300",
General Motors Corporation,Nationwide,,Private industry,336111,United Automobile Workers,UAW,,,9/24/07,9/26/07,"74,000","148,000",
San Francisco Bay Area Security Officers,CA,San Francisco,Private industry,561612,Service Employees International Union,SEIU,24/7,,9/24/07,9/28/07,"4,000","20,000",
Sutter Hospitals,CA,,Private industry,622110,California Nurses Association,CNA,,,10/10/07,10/12/07,"5,000","15,000",
New York City Taxi and Limousine Commission,NY,New York,Local government,485310,Taxi Workers Alliance,,,,10/22/07,10/23/07,"33,000","33,000",
International Truck and Engine Corporation,"OH, IN, IL, GA, PA, TX",Multiple states,Private industry,336120,United Automobile Workers,UAW,,,10/23/07,12/13/07,"3,700","133,200",
Alliance of Motion Picture and Television Producers,Nationwide,,Private industry,512110,"Writers Guild of America West, Writers Guild of America East",,,,11/5/07,2/12/08,"10,500","714,000",
Paratransit Operators Coalition,NY,New York,Local government,485991,Amalgamated Transit Union,ATU,1181-1061,,12/10/07,12/19/07,"1,500","12,000",
Sutter Hospitals,CA,,Private industry,622110,California Nurses Association,CNA,,,12/13/07,12/14/07,"5,000","10,000",
Volvo Trucks North America,VA,Dublin,Private industry,336120,United Automobile Workers,UAW,2069,,2/1/08,3/17/08,"2,500","77,500",
"American Axel and Manufacturing, Inc.","NY, MI","Cheektowaga and Tonawanda, NY; Detroit, Hamtramck, and Three Rivers, MI",Private industry,336350,United Automobile Workers,UAW,"235, 262, 424, 846, 2093",,2/26/08,5/22/08,"3,600","226,800",
Sutter Hospitals,CA,San Francisco Bay Area,Private industry,622110,California Nurses Association,CNA,,,3/21/08,3/30/08,"4,000","24,000",
University of Michigan,MI,Ann Arbor,State government,611310,Graduate Employees Organization,,,,3/25/08,3/25/08,"1,700","1,700",
General Motors Corporation,MI,Lansing,Private industry,336111,United Automobile Workers,UAW,602,,4/17/08,5/16/08,"2,300","50,600",
General Motors Corporation,MO,Kansas City,Private industry,336111,United Automobile Workers,UAW,31,,5/5/08,5/21/08,"2,400","31,200",
Bay Area Maintenance Contractors,CA,San Francisco Bay Area,Private industry,561720,Service Employees International Union,SEIU,1877,,5/19/08,5/28/08,"1,800","12,600",
Indiana Construction Association,IN,,Private industry,236220,Laborers International Union of North America,LIUNA,,,6/4/08,6/5/08,"2,900","5,800",
Performance Transportation Services,"AZ, CA, DE, IL, IN, KY, MA, MI, MN, NJ, NM, NY, OH, PA, TX, UT",Multiple states,Private industry,484121,International Brotherhood of Teamsters,IBT,,,6/9/08,6/13/08,"1,300","6,500",
University of California,CA,Statewide,State government,611310,"American Federation of State, Country, and Municipal Employees",AFSCME,3299,,7/14/08,7/18/08,"8,500","42,500",
"Hawker Beechcraft, Inc.",KS,"Wichita, Salinas",Private industry,336411,International Association of Machinists,IAM,"733, 2328",,8/4/08,8/28/08,"5,200","98,800",
Daughters of Charity Health System,CA,San Francisco,Private industry,622110,Service Employees International Union/United Health Care Workers West,SEIU,,,8/28/08,8/29/08,"1,800","1,800",
Bellevue School District,WA,Bellevue,Local government,611110,Bellevue Education Association,,,,9/2/08,9/12/08,"1,200","10,800",
The Boeing Company,"WA, OR, KS","Puget Sound Area, Gresham, Wichita",Private industry,336411,International Association of Machinists,IAM,"24,70,751",,9/6/08,11/1/08,"27,000","1,053,000",
"Sutter Hospitals, Daughters of Charity and Alliance Clinic",CA,San Francisco Bay Area,Private industry,622110,"Service Employees International Union, United Health Care Workers West",SEIU,,,10/29/08,10/29/08,"6,000","6,000",
"Bell Helicopter Textron, Inc.",TX,Fort Worth,Private industry,336411,United Automobile Workers,UAW,218,,6/15/09,7/22/09,"2,500","67,500",
Interior Demolition Contractors Association,NY,New York,Private industry,238910,Laborers International Union of North America/Mason Tenders District Council,LIUNA,79,,7/1/09,7/7/09,"1,500","6,000",
Kent Public School District,WA,Kent,Local government,611110,Kent Education Association,,,,8/27/09,9/13/09,"1,900","20,900",
Southeastern Pennsylvania Transportation Authority,PA,Philadelphia,Local government,485111,Transport Workers Union,TWU,234,,11/3/09,11/9/09,"5,500","27,500",
University of Illinois,IL,Champaign - Urbana,State government,611310,"American Federation of Teachers, Graduate Employees Organization",AFT,6300,,11/16/09,11/17/09,"1,100","2,200",
Temple University Hospital,PA,Philadelphia,State government,622110,Pennsylvania Association of Staff Nurses and Allied Professionals,,,,3/31/10,4/28/10,"1,500","31,500",
North Penn School District,PA,Montgomery County,Local government,611110,North Penn Education Association,,,,4/19/10,4/26/10,"1,100","6,600",
Capistrano Unified School District,CA,San Juan Capistrano Area,Local government,611110,Capistrano Unified Educators Association,,,,4/22/10,4/26/10,"1,800","5,400",
Oakland Unified School District,CA,Oakland,Local government,611110,Oakland Education Association,,,,4/29/10,4/29/10,"2,500","2,500",
The Boeing Company,CA,Long Beach,Private industry,336411,United Automobile Workers,UAW,148,,5/11/10,6/4/10,"1,700","30,600",
"Allina Health System / United Hospital, Children's Hospitals and Clinics, Fairview Health Services, HealthEast Care System, Mercy Hospital, North Memorial Hospital, Park Nicollete Methodist Hospital",MN,Minneapolis -St. Paul,Private industry,622110,Minnesota Nurses Association,,,,6/10/10,6/10/10,"12,000","12,000",
Sheet Metal and Air Conditioning Contractors Association of Milwaukee,WI,Milwaukee,Private industry,238220,Sheet Metal Workers' International Association,SMART,18,,6/14/10,6/25/10,"1,800","18,000",
Mid-America Regional Bargaining Association,IL,Chicago area,Private industry,237310,"Laborers International Union of North America District Council of Chicago, International Union of Operating Engineers, Chicago Regional Council of Carpenters","LIUNA, IUOE, UBC",,,7/1/10,7/19/10,"15,000","180,000",
New York Shipping Association/New Jersey,"NY, NJ",New York City area,Private industry,488310,International Longshoreman's Association,ILA,,,9/28/10,9/29/10,"4,500","9,000",
Hilton Hotels Hawaiian Village Beach Resort and Spa,HI,Honolulu,Private industry,721110,"United Needletrades Industrial, and Textile Employees-Hotel Employees and Restaurant Employees",UNITE HERE,5,,10/14/10,10/18/10,"1,500","4,500",
"HCA Corporation, Riverside Community Hospital and West Hills Hospital and Medical Center",CA,Riverside and West Hills,Private industry,622110,Service Employees International Union,SEIU,121RN,,12/23/10,12/28/10,"1,100","2,200",
Kaiser Permanente Los Angeles Medical Center,CA,Los Angeles,Private industry,622110,National Union of Health Care Workers,,,,3/2/11,3/2/11,"1,000","1,000",
"Hawaiian Electric, Maui Electric, Hawaii Electric Light Company",HI,Statewide,Private industry,221112,International Brotherhood of Electrical Workers,IBEW,1260,,3/4/11,3/7/11,"1,300","2,600",
Washington Hospital Center,DC,Washington,Private industry,622110,National Nurses United,NNU,,,3/4/11,3/8/11,"1,100","3,300",
National Football League,Nationwide,,Private industry,711211,National Football League Players Association,NFLPA,,,3/12/11,7/25/11,"1,900","178,600",
Plumbing and Piping Industry Council Inc. dba Plumbing and Mechanical Contractors Association,OR,Tualatin,Private industry,238220,United Association of Plumbers and Steamfitters,UA,290,,4/11/11,4/25/11,"1,500","16,500",
General Building Contractors Association,"PA, DE",Philadelphia and Delaware areas,Private industry,236220,Metropolitan Regional Council of Carpenters of Philadelphia and Vicinity Council,,,,5/4/11,5/12/11,"3,000","21,000",
Interior Finish Contractors Association,PA,Philadelphia,Private industry,236220,Metropolitan Regional Council of Carpenters of Philadelphia and Vicinity Council,,,,5/4/11,5/12/11,"2,500","17,500",
Kaiser Permanente Los Angeles Medical Center,CA,Los Angeles,Private industry,622110,National Union of Healthcare Workers,,,,5/18/11,5/18/11,"2,000","2,000",
Mason Contractors Association,MO,St. Louis,Private industry,238140,International Union of Bricklayers and Allied Craftworkers,BAC,1,Bricklayers,6/1/11,7/20/11,"1,000","35,000",
Mechanical Contractors Association,MO,Kansas City,Private industry,238220,United Association of Plumbers and Steamfitters,UA,533,Pipefitters,6/1/11,6/8/11,"1,500","9,000",
Plumbing and Mechanical Contractors' Association of Milwaukee,WI,Milwaukee,Private industry,238220,United Association of Plumbers and Steamfitters,UA,601,,6/30/11,7/22/11,"2,500","40,000",
American Crystal Sugar Company,"MN, IA, ND",Multiple states,Private industry,311313,"Bakery, Confectionery, Tobacco Workers and Grain Millers International Union",BCTGM,,,8/1/11,12/1/12,"1,300","444,600","The number of workers participating in the work stoppage dropped below 1,000 in December 2012."
Verizon Communications,East Coast States,Multiple states,Private industry,517110,Communications Workers of America and International Brotherhood of Electrical Workers,"CWA, IBEW",,,8/7/11,8/20/11,"45,000","450,000",
Hyatt Hotels,"IL, CA, HI",Multiple states,Private industry,721110,"United Needletrades Industrial, and Textile Employees-Hotel Employees and Restaurant Employees",UNITE HERE,"1,2,5,11",,9/8/11,9/14/11,"3,000","15,000",
City of Tacoma,WA,Tacoma,Local government,611110,Tacoma Teachers Association,,,,9/13/11,9/22/11,"1,900","15,200",
"Sutter Hospitals, Kaiser Permanente Hospitals, Children's Hospital and Research Center",CA,,Private industry,622110,"California Nurses Association / National Nurses United, National Union of Healthcare Workers and International Union of Operating Engineers","CNA, NUHW, IUOE",IUOE 39,,9/22/11,9/22/11,"29,000","29,000",
"Sutter Hospitals, Children's Hospital and Research Center",CA,,Private industry,622110,"California Nurses Association, National Nurses United","CNA, NNU",,,9/23/11,9/26/11,"6,000","12,000",
Cooper Tire and Rubber Company,OH,Findlay,Private industry,326211,United Steelworkers,USW,207L,,11/28/11,2/27/12,"1,000","62,000",
"Sutter Hospitals, Memorial Care Hospitals",CA,"Los Angeles, San Francisco Bay Area",Private industry,622110,"California Nurses Association, National Nurses United","CNA, NNU",,,12/22/11,12/23/11,"6,000","12,000",
Kaiser Permanente Hospitals,CA,Statewide,Private industry,622110,"California Nurses Association, National Union of Healthcare Workers, International Union of Operating Engineers - Stationary Engineers","CNA, NNU, IUOE",IUOE 39,,1/31/12,1/31/12,"21,000","21,000",
Riverside County Regional Medical Center,CA,Riverside,Local government,622110,Service Employees International Union,SEIU,721,,1/31/12,1/31/12,"5,600","5,600",
Rockford School District 205,IL,Rockford,Local government,611110,Rockford Education Association,,,,3/29/12,3/30/12,"1,900","3,800",
Lockheed Martin Corporation,TX,Fort Worth,Private industry,336411,International Association of Machinists,IAM,776,,4/23/12,6/28/12,"3,600","172,800",
Sutter Health Hospitals,CA,San Francisco Bay Area,Private industry,622110,California Nurses Association,CNA,,,5/1/12,5/5/12,"4,500","18,000",
"AT&T, Inc.","CA, NV",Multiple states,Private industry,517110,Communications Workers of America,CWA,,,6/8/12,6/8/12,"14,000","14,000",
Sutter Health Hospitals,CA,San Francisco Bay Area,Private industry,622110,California Nurses Association,CNA,,,6/13/12,6/17/12,"4,500","13,500",
Consolidated Edison,NY,New York City and Westchester County,Private industry,221122,Utility Workers of America,UWA,2-Jan,,7/1/12,7/26/12,"8,000","144,000",
Sutter Health Hospitals,CA,Alameda and San Mateo Counties,Private industry,622110,California Nurses Association,CNA,,,7/3/12,7/7/12,"3,700","11,100",
"AT&T, Inc.","CA, CT, NV",Multiple states,Private industry,517110,Communications Workers of America,CWA,,,8/7/12,8/8/12,"21,200","42,400",
City of Chicago Public School District 299,IL,Chicago,Local government,611110,Chicago Teachers Union,CTU,,,9/10/12,9/18/12,"26,500","185,500",
Sutter Health Hospitals,CA,San Francisco Bay Area,Private industry,622110,California Nurses Association,CNA,,,11/1/12,11/5/12,"3,300","9,900",
"Raley's, Nob Hill Stores","CA, NV",Northern CA and Northern NV areas,Private industry,445110,United Food and Commercial Workers Union,UFCWU,,,11/4/12,11/13/12,"7,400","44,400",
Hostess Brands,Nationwide,,Private industry,311812,"Bakery, Confectionary, Tobacco Workers, and Grain Millers International Union",BCTGM,,,11/9/12,11/21/12,"5,000","40,000",
Sutter Health Hospitals and Hospital Corporation of America,CA,San Francisco Bay Area,Private industry,622110,California Nurses Association,CNA,,,11/20/12,11/24/12,"5,000","15,000",
Pacific Maritime Association,CA,Ports of Los Angeles and Long Beach,Private industry,488310,International Longshore and Warehouse Union,ILWU,63A - Office clerical unit,,11/27/12,12/4/12,"5,500","33,000",
Community Unit School District 300,IL,Carpentersville,Local government,611110,Local Education Association of District 300,LEAD,,,12/4/12,12/4/12,"1,300","1,300",
Goodman Manufacturing Company,TN,Fayetteville,Private industry,333415,International Association of Machinists,IAM,2385,,12/9/12,12/13/12,"1,100","4,400",
Sutter Health Hospitals and Hospital Corporation of America,CA,San Francisco Bay Area,Private industry,622110,California Nurses Association,CNA,,,12/24/12,12/24/12,"5,000","5,000",
New York City Public Schools,NY,New York,Local government,611110,Amalgamated Transit Union,ATU,1181,,1/16/13,2/15/13,"8,000","176,000",
"G4S, Allied Barton, Securitas, Viking Security, ABM Security, and Whelan Security",MN,Minneapolis - St. Paul,Private industry,561612,Service Employees International Union,SEIU,26 - Security guards,,2/27/13,2/27/13,"2,000","2,000",
Sheet Metal Contractors Association of Philadelphia and Vicinity,"PA, NJ",Philadelphia Metropolitan Area,Private industry,236220,Sheet Metal Workers Union,SMWU,19,,5/1/13,5/2/13,"1,300","2,600",
"Sutter Health Hospitals, Hospital Corporation of America",CA,San Francisco Bay Area,Private industry,622110,"California Nurses Association, National Nurses United","CNA, NNU",,,5/17/13,5/24/13,"4,200","25,200",
University of California Medical Centers,CA,"Sacramento, San Francisco, Los Angeles, Irvine, and San Diego",State government,622110,"American Federation of State, County, and Municipal Employees, University Professional and Technical Employees Union","AFSCME, UPTEU",AFSCM 3299,,5/21/13,5/22/13,"18,800","34,300","3,300 members of the University Professional and Technical Employees Union participated in the strike for only one day on May 21, 2013."
Bay Area Rapid Transit - BART,CA,San Francisco Bay Area,Local government,485112,"Service Employees International Union, Amalgamated Transit Union","SEIU, ATU","SEIU 1021, ATU 1555",,7/1/13,7/5/13,"2,400","9,600",
City of Oakland,CA,Oakland,Local government,921110,International Federation of Professional and Technical Engineers,IFPTE,21,,7/1/13,7/1/13,"2,500","2,500",
"Bell Helicopter Textron, Inc.",TX,Hurst,Private industry,336411,United Automobile Workers,UAW,218,,9/6/13,9/6/13,"2,600","2,600",
"Los Angeles County, CA",CA,Los Angeles County,Local government,921110,Service Employees International Union,SEIU,721,,10/1/13,10/1/13,"2,500","2,500",
"Steamship Trade Association of Baltimore, Maryland Port Administration",MD,Baltimore,Private industry,488310,International Longshoremen's Association,ILA,333,,10/16/13,10/18/13,"2,000","6,000",
Bay Area Rapid Transit - BART,CA,San Francisco Bay Area,Local government,485112,"Service Employees International Union, Amalgamated Transit Union","SEIU, ATU","SEIU 1021, ATU 1555",,10/18/13,10/21/13,"2,300","4,600",
Will County,IL,Joliet,Local government,921110,"American Federation of State, County, and Municipal Employees",AFSCME,1028,,11/18/13,12/4/13,"1,000","12,000",
University of California Medical Centers,CA,Statewide,State government,622110,"American Federation of State, County, and Municipal Employees, UC Student-Workers","AFSCME, UCSW",AFSCME 3299,,11/20/13,11/20/13,"2,100","2,100",
"Deaconess Medical Center, Valley Hospital",WA,Spokane,Private industry,622110,Service Employees International Union,SEIU,1199NW,Health care workers,12/4/13,12/4/13,"1,100","1,100",
Los Angeles County,CA,Los Angeles County,Local government,624110,Service Employees International Union,SEIU,721,Social workers,12/5/13,12/10/13,"1,700","6,800",
University of Illinois at Chicago,IL,Chicago,State government,611310,UIC United Faculty,UICUF,6456,,2/18/14,2/19/14,"1,100","2,200",
Johns Hopkins Hospital,MD,Baltimore,Private industry,622110,Service Employees International Union/United Health Care Workers East,SEIU,1199,,4/9/14,4/11/14,"2,000","6,000",
"Army Fleet Support, LLC",AL,Fort Rucker,Private industry,488190,International Association of Machinists,IAM,2003,,4/28/14,5/4/14,"3,000","15,000",
"Queen of the Valley Medical Center, Sutter Tracy Community Hospital, Watsonville, Community Hospital",CA,Central,Private industry,622110,California Nurses Association and National Nurses United,"CNA, NNU",,,8/14/14,8/15/14,"1,000","1,000",
Zodiac Seats US,TX,Gainesville,Private industry,336360,United Brotherhood of Teamsters,UBT,767,,9/23/14,10/25/14,"1,300","29,900",
Waukegan School District 60,IL,Waukegan,Local government,611110,Lake County Federation of Teachers,LCFT,504,,10/2/14,10/30/14,"1,200","24,000",
Fairpoint Communications,"ME, NH, VT",Multiple states in New England,Private industry,517110,International Brotherhood of Electrical Workers and Communications Workers of America,"IBEW, CWA","IBEW 2320, 2326, 2327, and CWA 1400",,10/17/14,2/19/15,"1,700","142,800",
"Kaiser Permanente Hospitals - CA, Sutter Hospitals - CA, Providence Hospital - DC","CA, DC",Multiple states,Private industry,622110,California Nurses Association and National Nurses United,"CNA, NNU",,,11/11/14,11/12/14,"19,000","19,000",
"St. Joseph Medical Center, St. Clare Hospital",WA,"Tacoma, Lakewood",Private industry,622110,Service Employees International Union,SEIU,1199NW,,11/18/14,11/19/14,"1,100","1,100",
SFO Airport Restaurant Employer Council,CA,San Francisco International Airport,Private industry,722510,"United Needletrades Industrial, and Textile Employees-Hotel Employees and Restaurant Employees",UNITE HERE,2,,12/11/14,12/12/14,"1,000","2,000",
Medstar Washington Hospital Center,DC,Washington,Private industry,622110,National Nurses United,NNU,,,12/22/14,12/31/14,"1,900","13,300",
Kaiser Permanente Hospitals,CA,Statewide,Private industry,62210,National Union of Healthcare Workers,,,,1/12/15,1/19/15,"3,500","17,500",
Royal Dutch Shell Oil and Other Refineries,"CA,IN,KY, LA,OH,TX, WA",,Private industry,211111,United Steelworkers Union,USS,,,2/1/15,6/23/15,"6,600","322,100","Royal Dutch Shell Oil Company initially represented other organizations involved in the work stoppage including Exxon Mobil, BP PLC, Chevron, Motiva Enterprises, LyondellBassell, Tesoro, and Marathon Oil. On 2/1/2015 the work stoppage involved 3,800 workers. An additional 1,400 workers joined the work stoppage on 2/7/2015. Another 1,400 workers joined the work stoppage on 2/21/2015.As of 3/13/15, 3,000 workers from BP, Marathon and Lyondell Basell facilities in Indiana, Texas, and Ohio were still involved in the work stoppage.125 workers at LyondellBasell returned to work May 8, 2015. Some 600 workers at Marathon Oil returned to work on May 11, 2015. Additionally, 1,100 workers at BP's Whiting Indiana location returned to work on May 18, 2015."
Washington State Legislature,WA,Statewide,State government,611110,Washington Education Association,,,,4/22/15,6/3/15,"16,900","16,900","Work stoppage exceeded 1,000 workers on 7 separate days from April 22nd 2015 through June 3rd 2015. The work stoppage involved various locations statewide for one day each. The number of workers and days idle have been combined."
"Sutter Auburn Faith Hospital, Mills-Peninsula Health Services, Sutter Tracy Community Hospital, Sutter Roseville Medical Center, Sutter Santa Rosa Medical Center",CA,Central CA,Private industry,622110,California Nurses Association,CNN,,,4/30/15,5/5/15,"1,700","5,100",
Allegheny Technologies Incorporated,"OH,PA,WV",,Private industry,331110,United Steelworkers Union,USS,,,8/15/15,2/22/16,"2,200","281,600",
Consolidated Nuclear Security,TX,Amarillo,Private industry,325180,Amarillo Metal Trades Council OPEIU,OPEIU,306,,8/29/15,10/3/15,"1,200","28,800",
Pasco School District,WA,Pasco,Local government,611110,Pasco Association of Educators,,,,9/1/15,9/13/15,"1,100","8,800",
Seattle School District,WA,Seattle,Local government,611111,Seattle Education Association,,,,9/9/15,9/15/15,"5,000","25,000",
Kohler Company,WI,Sheboygan,Private industry,332913,United Auto Workers International Union,UAW,833,,11/15/15,12/15/15,"2,100","44,100",
Solano County Municipal Government,CA,Solano County,Local government,921110,Solano County Municipal Government Employees,SEIU,1021,,11/17/15,11/18/15,"1,800","3,600",
Sonoma County Municipal Government,CA,Sonoma County,Local government,921111,Sonoma County Municipal Government Employees,SEIU,1021,,11/17/15,11/17/15,"2,000","2,000",
Nexteer Automotive,MI,Buena Vista,Private industry,336330,United Auto Workers International Union,UAW,699,,12/8/15,12/8/15,"3,200","3,200",
"Port Authority of New York and New Jersey, New York Shipping Association","NY, NJ",Multiple states,Local government,488310,"NJ, NY, International Association of Longshoremen",ILA,,,1/29/16,1/29/16,"1,000","1,000",
Minneapolis-St. Paul Contract Cleaners Association,MN,Minneapolis- St. Paul,Private industry,561720,Service Employees International Union,SEIU,26,,2/17/16,2/18/16,"4,200","4,200",
Kaiser Permanente Los Angeles Medical Center,CA,Los Angeles,Private industry,622110,California Nurses Association,CNA,,,3/15/16,3/22/16,"1,200","6,000",
City of Chicago Public School District,IL,Chicago,Local government,611110,Chicago Teachers Union,CTU,,,4/1/16,4/1/16,"27,000","27,000",
Verizon Communications Inc.,,Multiple east coast states,Private industry,517110,Communications Workers of America and International Brotherhood of Electrical Workers,"CWA, IBEW",,,4/13/16,5/27/16,"36,500","1,204,500",
Detroit Public Schools,MI,Detroit,Local government,611110,Detroit Federation of Teachers,DFT,,,5/2/16,5/3/16,"1,500","3,000",
AT&T Inc.,CA,San Diego,Private industry,517110,Communication Workers of America,CWA,9509,,5/19/16,5/25/16,"1,700","6,800",
Allina Health,MN,Minneapolis- St. Paul,Private industry,622110,Minnesota Nurses Association/National Nurses United,"MNA, NNU",,,6/19/16,6/26/16,"4,800","24,000",
Kaiser Permanente Los Angeles Hospital Center,CA,Los Angeles,Private industry,622110,California Nurses Association/National Nurses United,"CNA, NNU",,,6/23/16,6/26/16,"1,300","2,600",
San Joaquin County,CA,San Joaquin County,Local government,921100,Service Employees International Union,SEIU,1021,,7/5/16,7/7/16,"2,600","7,800",
Painting and Decorating Foundation,MO,St. Louis,Private industry,238320,International Union of Painters and Allied Trades,IUPAT,District Council 58,,9/1/16,10/2/16,"1,400","4,200",
